date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 17:30:07,,,,144.55,16944.55,28172.28,312.11,60.16,6.9,166.34,25378.22,26184.16,309.99,8.06,49.86,5.7,157.43,26821.78,326.93,46.86,6.18,743892,524,0.15,0.37,632.67,125.74,48.46,19.58,1597.03,1586.14,5962.35,11174.28,4428.71,4500.99,25320.05,33806.52,1681.19,1809.9,5710.81,13316.32
10/04 17:30:09,0,0,0,175.25,25552.48,30833.66,321.75,59.64,5.64,124.75,15623.76,21229.7,295.41,3.06,27.78,5.79,164.36,28411.88,312.72,50.03,5.85,743972,600,0.12,0.35,638.61,119.8,49.93,18.58,1375.25,1838.61,3329.26,14023.94,5039.6,4550.5,30420.44,32703.24,1714.85,2000.99,5952.81,15063.69
10/04 17:30:11,0,0,0,161.0,22862.0,25390.0,299.7,79.23,6.26,170.0,22648.0,32318.0,323.33,6.57,44.09,5.7,191.0,25508.0,315.51,38.49,5.28,744056,688,0.15,0.35,631.0,120.0,48.85,18.25,1802.0,2073.0,6587.95,15183.11,5181.0,5535.0,29620.2,40330.85,1660.0,1965.0,5369.7,14668.65
10/04 17:30:13,,,,150.0,23100.0,19312.0,282.75,72.68,6.71,174.0,22342.0,30930.0,306.16,6.64,37.89,5.41,152.0,26194.0,272.25,39.28,5.92,744132,768,0.17,0.37,637.0,124.0,50.26,19.21,1704.0,2067.0,5498.83,15442.47,4996.0,4455.0,29727.08,30892.92,1850.0,1955.0,7129.83,14056.1
10/04 17:30:15,,,,169.31,23308.91,28968.32,308.77,46.27,5.89,158.42,22231.68,26156.44,305.45,6.77,36.88,5.76,124.75,19401.98,263.54,38.88,7.11,744208,844,0.15,0.35,619.8,115.84,48.29,17.61,1607.92,1723.76,5438.09,12372.24,4505.94,4271.29,25997.19,29817.52,1542.57,1742.57,4967.16,12874.08
10/04 17:30:17,,,,150.5,18453.47,23877.23,281.28,44.81,6.09,145.54,19639.6,19130.69,266.38,5.03,35.16,5.39,110.89,15833.66,298.46,21.28,6.3,744280,920,0.15,0.35,625.74,113.86,48.87,17.05,1328.71,1411.88,3254.55,10137.66,3998.02,4001.98,21086.1,28005.49,1501.98,1624.75,4734.57,11759.46
10/04 17:30:19,0,0,0,146.53,21336.63,20792.08,287.5,47.57,6.8,157.43,19863.37,24136.63,279.5,4.27,27.25,5.49,169.31,25794.06,287.99,55.43,5.89,744356,996,0.12,0.37,631.68,119.8,49.25,18.58,1775.25,1780.2,7060.66,12751.26,4372.28,4537.62,24225.06,32662.91,1430.69,1511.88,4210.49,10955.9
10/04 17:30:21,,,,187.0,22310.0,29108.0,274.96,62.18,5.39,136.0,17464.0,20516.0,279.26,4.08,33.46,5.72,173.0,25026.0,281.75,51.87,5.83,744436,1072,0.12,0.35,637.0,116.0,49.87,17.74,1569.0,1767.0,5128.21,13003.65,4652.0,4235.0,26247.0,32053.01,1610.0,1718.0,5298.32,12518.89
10/04 17:30:23,,,,144.55,21663.37,22623.76,306.37,31.76,5.64,197.03,35609.9,26211.88,313.77,13.3,58.06,5.06,154.46,23415.84,333.81,50.08,5.58,744512,1148,0.17,0.35,629.7,112.87,48.11,17.11,1600.0,1672.28,5186.26,12380.8,4663.37,5741.58,24175.54,42913.09,1710.89,1612.87,6819.69,11383.7
10/04 17:30:25,,,,180.2,26229.7,23825.74,277.78,46.38,5.53,179.21,27780.2,24293.07,290.57,11.5,60.96,5.56,160.4,21732.67,299.69,45.46,5.96,744592,1228,0.15,0.37,636.63,119.8,50.57,18.38,2000.0,1803.96,8550.85,12351.71,4564.36,5529.7,23288.04,40587.8,1911.88,1630.69,8176.54,10802.03
