date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 18:40:04,,,,193.0,34140.0,22290.0,292.38,50.98,5.18,181.0,27728.0,29212.0,314.59,12.42,78.4,5.52,168.0,31426.0,295.75,39.84,5.79,827480,1488,0.28,0.4,657.0,119.0,51.1,19.14,1572.0,2200.0,3609.11,16654.04,5807.0,5762.0,33567.84,40750.3,1638.0,2231.0,4450.19,16835.67
10/04 18:40:06,,,,169.31,25849.5,18960.4,264.67,42.25,5.6,188.12,30918.81,24704.95,295.68,12.71,49.47,5.26,178.22,25625.74,293.51,38.82,5.47,827552,472,0.25,0.38,654.46,116.83,51.46,18.66,1466.34,1745.54,3902.55,12709.06,4688.12,5566.34,23846.47,41907.16,1687.13,1517.82,6010.42,10496.74
10/04 18:40:08,,,,140.0,22218.0,21210.0,310.2,35.48,5.91,184.0,31664.0,17952.0,269.65,12.93,69.86,5.43,141.0,16532.0,286.96,30.1,6.67,827628,564,0.28,0.38,651.0,112.0,50.3,17.75,1306.0,1412.0,3217.32,10269.88,4114.0,4901.0,19781.15,39257.68,1432.0,1363.0,4241.7,9358.9
10/04 18:40:10,,,,180.0,28340.0,18926.0,262.59,43.86,5.38,178.0,29456.0,19572.0,275.44,12.36,54.06,5.62,166.0,24918.0,277.18,36.22,5.98,827708,644,0.28,0.43,662.0,119.0,51.62,18.89,1488.0,2035.0,3115.23,15295.16,4982.0,5543.0,25369.64,39841.96,1522.0,1433.0,4637.97,9701.9
10/04 18:40:12,,,,146.0,22224.0,21448.0,299.12,33.49,5.84,170.0,28362.0,23988.0,307.94,13.28,98.15,5.88,187.0,24632.0,284.78,52.59,5.35,827780,484,0.25,0.38,648.0,112.0,49.57,18.0,1300.0,1764.0,1713.7,13419.48,5152.0,5520.0,28075.85,40001.09,1682.0,1980.0,4997.15,14880.49
10/04 18:40:14,0,0,0,75.0,7864.0,11732.0,261.28,14.99,6.4,168.0,22786.0,21504.0,263.63,9.21,78.9,5.65,62.0,10628.0,334.87,14.55,7.21,827860,596,0.23,0.35,653.0,119.0,50.5,18.93,1282.0,1295.0,3176.11,9280.75,3133.0,2978.0,14613.74,20692.32,1091.0,864.0,1738.54,5692.69
10/04 18:40:16,0,0,0,99.0,9924.0,10202.0,203.29,19.41,6.14,142.0,25432.0,17580.0,302.9,4.58,28.75,5.8,109.0,11868.0,226.61,38.02,6.45,827936,644,0.28,0.33,654.0,121.0,51.69,19.27,1223.0,1134.0,2421.98,7955.64,3044.0,3452.0,12930.84,24356.03,1303.0,808.0,4049.4,4898.71
10/04 18:40:18,,,,172.0,20524.0,25638.0,268.38,35.83,5.47,164.0,28842.0,19094.0,292.29,5.99,36.06,5.57,179.0,23906.0,289.71,37.12,5.55,827988,712,0.25,0.43,649.0,119.0,51.26,19.14,1652.0,1956.0,4804.59,14473.33,5167.0,5521.0,28694.77,39312.34,1893.0,1968.0,6968.49,13963.14
10/04 18:40:20,,,,133.0,15956.0,19810.0,268.92,30.74,6.33,197.0,37882.0,19530.0,291.43,7.44,33.82,5.07,183.0,28180.0,268.97,68.93,5.46,828096,820,0.25,0.38,654.0,111.0,50.79,17.69,1655.0,1458.0,6103.12,9707.64,4435.0,5226.0,21914.33,37831.5,1536.0,1660.0,4581.75,11820.74
10/04 18:40:22,,,,153.0,17930.0,25292.0,282.5,46.89,5.97,202.0,31958.0,25660.0,285.24,12.42,74.98,4.95,161.0,25474.0,324.58,61.34,5.63,828168,852,0.28,0.45,654.0,119.0,51.54,19.14,1810.0,1683.0,6255.58,11449.88,5279.0,5558.0,26326.48,38735.78,1851.0,2037.0,5793.37,14664.92
