date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 19:20:14,,,,180.0,24118.0,29394.0,297.29,46.27,5.56,195.0,30716.0,26614.0,294.0,12.41,75.53,5.13,170.0,29558.0,303.59,75.49,5.88,845540,1468,0.38,0.28,640.0,104.0,48.29,16.97,1533.0,2039.0,4452.35,15293.92,5560.0,5314.0,32413.91,38826.32,1695.0,2270.0,5586.52,17365.31
10/04 19:20:15,,,,112.87,13910.89,18237.62,284.82,24.32,6.32,165.35,22346.53,21867.33,267.4,13.23,70.95,6.04,179.21,22342.57,302.7,75.44,5.57,845576,1504,0.12,0.4,656.44,106.93,50.89,17.75,1417.82,1662.38,3729.28,12258.01,4338.61,4790.1,23241.42,34680.05,1643.56,1546.53,5706.49,11010.95
10/04 19:20:16,,,,164.0,26478.0,21238.0,290.95,30.99,5.7,184.0,29070.0,25678.0,297.54,14.3,79.46,5.43,191.0,26394.0,295.59,41.02,5.24,845620,432,0.45,0.33,651.0,106.0,49.34,17.35,1402.0,1868.0,3044.8,14022.04,5174.0,5766.0,28349.07,43220.65,1752.0,1945.0,6247.91,14146.78
10/04 19:20:17,,,,107.92,12558.42,17316.83,276.83,27.27,6.64,167.33,27843.56,20251.49,287.43,12.14,101.4,5.97,156.44,24857.43,325.71,96.75,6.25,845648,460,0.1,0.37,646.53,105.94,52.39,16.99,1389.11,1505.94,3949.71,10953.75,4465.35,4534.65,24177.39,33338.38,1480.2,1703.96,4433.75,12711.07
10/04 19:20:18,,,,120.0,15014.0,15452.0,253.88,24.86,6.22,200.0,32134.0,26136.0,291.35,11.5,45.3,5.0,164.0,26148.0,300.29,47.2,6.1,845696,532,0.45,0.28,645.0,103.0,49.29,17.36,1365.0,1430.0,3756.31,10383.54,4635.0,4905.0,25125.27,35760.63,1716.0,2015.0,5846.77,14951.27
10/04 19:20:19,,,,189.0,25240.0,26660.0,274.6,42.65,5.12,191.0,33740.0,25946.0,312.49,12.96,65.2,5.28,159.0,25524.0,319.46,87.24,6.34,845728,564,0.17,0.37,645.0,103.0,49.38,16.45,1775.0,1817.0,6519.12,13026.84,4797.0,5575.0,26340.69,42524.51,1803.0,1728.0,6914.34,12332.0
10/04 19:20:20,,,,190.0,28572.0,27030.0,292.64,54.44,5.26,184.0,28498.0,23800.0,284.23,12.97,51.91,5.43,166.0,24306.0,298.89,64.51,5.63,845772,608,0.4,0.28,647.0,111.0,48.79,18.12,1508.0,1789.0,4189.6,13351.9,4800.0,5649.0,26326.02,41595.12,1644.0,1917.0,5246.52,14059.21
10/04 19:20:21,,,,166.34,26530.69,22671.29,295.8,40.04,5.77,179.21,27641.58,22196.04,278.1,13.93,72.79,5.57,116.83,16037.62,280.61,39.99,6.68,845808,612,0.12,0.32,652.48,103.96,53.93,16.86,1373.27,1432.67,3491.4,10303.73,4250.5,4885.15,21947.41,35833.78,1500.0,1563.37,4606.49,11445.07
10/04 19:20:22,,,,155.0,19116.0,22998.0,271.7,50.6,5.99,175.0,25018.0,21326.0,264.82,14.43,110.17,5.71,120.0,19150.0,308.08,28.6,5.97,845848,656,0.4,0.23,643.0,108.0,49.75,17.47,1799.0,1635.0,7171.95,11581.63,4307.0,4399.0,22829.43,31323.3,1401.0,1490.0,3948.69,10605.68
10/04 19:20:23,,,,156.44,24958.42,22259.41,301.84,48.89,5.49,169.31,30885.15,23782.18,322.89,7.64,63.77,5.41,163.37,18704.95,318.11,38.95,5.76,845884,700,0.15,0.35,641.58,106.93,50.44,17.5,1599.01,1642.57,5816.98,11769.13,4300.0,5889.11,20838.05,44985.68,1434.65,1345.54,4423.62,9627.22
10/04 19:20:24,,,,132.0,24202.0,19572.0,331.62,26.75,5.97,201.0,30614.0,25750.0,280.42,7.68,33.91,4.84,162.0,24350.0,309.11,44.77,6.17,845924,740,0.43,0.28,639.0,107.0,48.61,17.37,1525.0,1999.0,4286.52,15365.81,4808.0,5552.0,26231.69,40719.99,1531.0,1493.0,5229.24,10797.23
10/04 19:20:25,,,,178.22,27679.21,24562.38,293.13,50.66,5.6,174.26,29011.88,23956.44,303.97,11.8,62.41,5.73,179.21,28542.57,292.54,92.45,5.57,845960,776,0.15,0.37,639.6,105.94,52.7,17.49,1643.56,1828.71,5271.71,13166.17,4943.56,5500.99,27424.57,40426.9,1912.87,1859.41,7723.46,13347.08
10/04 19:20:26,,,,189.0,30240.0,25698.0,295.97,60.08,5.29,182.0,31670.0,17090.0,267.91,11.23,53.42,5.49,188.0,24704.0,275.96,63.09,5.29,846000,768,0.45,0.3,627.0,101.0,48.68,16.52,1403.0,1845.0,3382.47,13902.42,5175.0,6146.0,26895.85,45266.66,1473.0,1829.0,3802.06,13656.9
10/04 19:20:27,,,,123.76,21572.28,14924.75,294.9,26.48,5.66,181.19,29051.49,23316.83,289.03,12.17,58.34,5.51,149.5,18102.97,309.06,40.54,5.99,846032,804,0.12,0.32,641.58,109.9,51.66,17.94,1294.06,1414.85,3331.9,10270.4,4470.3,5398.02,22570.88,39774.92,1465.35,1560.4,4517.78,11560.4
10/04 19:20:28,,,,133.0,14048.0,23382.0,281.43,30.32,6.3,164.0,29870.0,22042.0,316.54,12.97,79.07,6.1,162.0,20308.0,289.69,43.4,6.17,846080,856,0.45,0.25,633.0,101.0,47.71,16.52,1670.0,1430.0,6781.14,9351.11,4235.0,4810.0,21469.03,35376.43,1533.0,1625.0,4580.42,12000.86
10/04 19:20:29,,,,117.0,13188.0,21198.0,293.9,28.4,6.24,164.0,29892.0,20042.0,304.48,11.01,73.41,6.14,154.0,23722.0,290.52,86.25,5.9,846112,888,0.12,0.37,648.0,104.0,53.65,16.97,1480.0,1584.0,4512.78,11511.97,4387.0,4570.0,23257.73,32404.64,1514.0,1513.0,4844.5,10626.39
