date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 17:15:10,,,,107.0,15236.0,18522.0,315.5,21.6,6.91,142.0,11428.0,33446.0,316.01,3.96,28.99,6.49,131.0,25030.0,327.27,22.31,5.97,707856,556,0.15,0.35,636.0,117.0,49.82,17.78,1772.0,1535.0,7160.61,10628.05,3855.0,3278.0,21679.13,22768.69,1879.0,1713.0,8165.32,11896.93
10/04 17:15:11,,,,124.75,10889.11,29392.08,322.89,23.58,6.12,174.26,22356.44,27160.4,284.16,6.57,36.75,5.49,120.79,19352.48,300.57,26.9,6.72,707904,604,0.37,0.27,641.58,107.92,50.32,17.12,2168.32,1907.92,10150.72,13389.33,4006.93,3606.93,22429.77,25359.06,1774.26,1318.81,7394.44,8801.08
10/04 17:15:12,,,,124.0,15784.0,23530.0,317.05,33.04,7.35,156.0,17504.0,31234.0,312.42,6.67,43.05,5.9,148.0,27654.0,317.41,36.8,6.14,707932,636,0.23,0.33,638.0,117.0,51.21,17.78,1953.0,2030.0,8010.14,14800.48,4438.0,3858.0,25782.95,26591.04,1911.0,1619.0,8137.46,11115.11
10/04 17:15:13,,,,151.49,15776.24,27463.37,285.44,42.75,6.23,169.31,19704.95,29100.99,288.27,6.6,37.26,5.33,121.78,18540.59,299.33,24.1,5.99,707980,684,0.47,0.32,633.66,114.85,47.64,18.04,1774.26,1503.96,7481.02,10220.45,4118.81,3838.61,22892.55,26992.27,1795.05,1742.57,6831.31,12251.2
10/04 17:15:14,,,,141.0,13196.0,25964.0,277.73,30.4,6.16,120.0,11998.0,18662.0,255.5,3.01,27.68,5.86,121.0,18964.0,269.07,25.82,6.47,708012,716,0.15,0.33,644.0,123.0,49.95,19.23,1680.0,1326.0,6274.82,8359.55,3525.0,2891.0,19443.96,19625.45,1830.0,1636.0,7044.2,11162.2
10/04 17:15:15,,,,121.78,12564.36,19106.93,260.07,17.96,6.12,125.74,15528.71,20665.35,287.84,3.07,25.6,6.28,119.8,20568.32,291.5,22.77,6.5,708056,696,0.37,0.2,638.61,119.8,49.8,18.36,1634.65,1378.22,6032.9,9546.04,3300.99,3106.93,17365.19,21484.66,1682.18,1230.69,6780.39,7879.95
10/04 17:15:16,,,,110.0,9646.0,16600.0,238.6,24.97,6.6,106.0,11740.0,17908.0,279.7,1.79,16.17,6.23,135.0,23058.0,276.19,39.41,6.47,708088,732,0.13,0.33,636.0,109.0,49.87,17.27,1704.0,1084.0,7299.33,6752.27,3269.0,2678.0,17537.51,18005.91,1571.0,1479.0,5405.32,10487.08
10/04 17:15:17,,,,135.64,11736.63,23102.97,256.85,22.13,6.39,150.5,9554.46,25758.42,234.64,4.68,31.18,6.07,170.3,31267.33,267.23,37.73,5.52,708128,780,0.37,0.27,626.73,117.82,46.59,18.0,2226.73,1721.78,10659.33,11106.25,3604.95,2786.14,20193.22,18002.49,1927.72,1484.16,8293.23,9503.48
10/04 17:15:18,,,,140.0,12952.0,26442.0,281.39,30.59,5.67,181.0,19136.0,32688.0,286.32,7.5,41.72,5.48,137.0,23650.0,251.87,32.45,6.01,708164,828,0.15,0.35,634.0,119.0,48.71,18.14,1912.0,1478.0,8189.5,9599.65,3849.0,3192.0,21705.55,21740.69,2317.0,1829.0,11643.3,12075.02
10/04 17:15:19,,,,141.0,20636.0,24890.0,322.88,32.79,6.0,120.0,13878.0,26116.0,333.28,3.22,26.13,6.28,152.0,21042.0,300.99,27.42,5.39,708212,876,0.4,0.25,638.0,103.0,48.83,15.82,1925.0,1555.0,8361.39,10554.24,3862.0,4133.0,20683.84,29922.68,2098.0,1528.0,10009.69,10027.39
10/04 17:15:20,,,,159.0,19848.0,30498.0,316.64,55.92,5.87,179.0,23306.0,23954.0,264.02,6.25,35.39,5.12,178.0,27098.0,282.16,44.39,5.16,708240,872,0.15,0.33,632.0,121.0,48.62,18.77,2063.0,1541.0,9534.94,10001.35,4575.0,4663.0,25892.75,33480.51,2048.0,2092.0,8599.38,15077.19
10/04 17:15:21,,,,205.94,24861.39,34657.43,289.01,46.52,4.84,146.53,23063.37,25116.83,328.8,4.76,32.2,5.45,133.66,21702.97,298.1,32.3,6.41,708288,920,0.45,0.3,631.68,117.82,48.72,18.21,2457.43,1679.21,12940.61,10740.24,3870.3,4467.33,19374.86,33379.05,1933.66,1451.49,8749.29,9396.79
10/04 17:15:22,,,,178.0,24712.0,32760.0,322.88,58.08,5.62,132.0,16132.0,21804.0,287.39,4.38,30.98,6.61,122.0,19670.0,283.49,20.17,6.37,708308,952,0.13,0.33,628.0,106.0,46.95,16.52,1585.0,1802.0,5106.69,13463.07,3773.0,3932.0,20334.84,28179.98,1853.0,1101.0,8711.6,6413.85
10/04 17:15:23,,,,148.51,18170.3,27136.63,305.07,78.52,6.55,146.53,22641.58,25605.94,329.26,4.22,30.2,5.51,151.49,26386.14,309.15,33.09,5.79,708364,996,0.45,0.25,632.67,115.84,50.09,17.83,2068.32,1724.75,9722.35,12028.82,4254.46,4248.51,23581.15,30930.42,1920.79,1645.54,8307.93,11513.44
10/04 17:15:24,,,,105.0,10040.0,19840.0,284.57,33.52,6.75,199.0,25984.0,33386.0,298.34,7.74,37.39,4.76,135.0,21134.0,278.19,41.57,6.78,708396,1028,0.13,0.33,639.0,117.0,48.81,18.26,1701.0,1350.0,7027.52,8825.9,3737.0,3739.0,19875.55,26491.57,2092.0,1642.0,9762.27,11031.67
10/04 17:15:25,,,,148.51,20413.86,25310.89,307.88,24.83,5.95,134.65,20675.25,21009.9,309.57,3.99,32.8,6.04,125.74,23267.33,313.5,27.13,6.51,708440,1008,0.37,0.27,622.77,109.9,46.23,16.55,1858.42,1368.32,8283.39,8945.38,3726.73,4002.97,19838.84,28934.08,1750.5,1582.18,6963.34,11182.84
