Latency_172.18.158.42_log,Latency_172.16.158.32_log,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
5.384452,4.348791,134.65,21679.21,21400,319.93,31.49,5.65,181.19,32180.2,24366.34,312.09,9.95,57.25,5.32,177.23,21350.5,30578.22,293.01,55.41,5.63,807828,1108,0.15,0.42,644.55,121.78,48.25,18.98,1553.47,2022.77,4049.15,15155.77,4882.18,5049.5,27993.84,37992.04,1682.18,1780.2,5592.91,13016.25
5.285962,4.400348,170,23548,22604,271.48,39.85,5.85,202,34912,24034,291.81,10.37,51.91,4.98,195,30904,29246,308.46,77.92,5.15,807904,1152,0.15,0.35,656,126,50.35,19.84,1376,1826,3143.09,13650.83,5285,6147,28303.55,45157.47,1522,1993,4216.99,14932.59
5.285962,4.400348,145.54,25087.13,17506.93,292.65,80.27,6.86,200.99,29148.51,31675.25,302.62,11.2,59.41,4.97,131.68,13770.3,23580.2,283.64,26.17,6.31,807944,1228,0.17,0.4,650.5,128.71,50.29,19.92,1589.11,1969.31,4181.62,14745.72,4751.49,4845.54,26930.01,34591.05,1698.02,1677.23,5922.21,12042.53
5.285962,4.400348,191.09,23504.95,32687.13,294.06,54.59,5.22,124.75,18544.55,12986.14,252.75,12.18,95.83,7.99,100,12807.92,17722.77,305.31,31.58,6.76,808024,1316,0.12,0.37,643.56,122.77,48.61,19.04,1452.48,1721.78,3653.59,12951.57,4110.89,3950.5,23217.99,27670.72,1430.69,1492.08,4104.57,10694.22
5.103468,4.424375,167.33,23897.03,20124.75,263.09,35.09,5.86,182.18,30732.67,20744.55,282.57,18.75,55.7,5.47,111.88,15477.23,12613.86,251.08,99.75,8.91,808100,1216,0.17,0.37,659.41,122.77,51.24,19.02,1204.95,1294.06,2421.36,9330.81,3780.2,4780.2,17660.77,34860.74,1560.4,1268.32,5720.5,8516.29
5.103468,4.424375,140.59,20231.68,19600,283.31,57.2,7.06,177.23,23819.8,23992.08,269.78,12.54,51.2,5.63,153.47,22419.8,17809.9,262.14,67.35,6.5,807892,1292,0.17,0.32,626.73,121.78,47.63,18.98,1263.37,1625.74,2733.89,11918.8,4259.41,4565.35,22531.43,32605.11,1355.45,1515.84,3504.25,10915.79
4.733342,4.454845,176,29222,26550,316.89,34.31,5.6,178,27990,27754,313.17,8.44,53.88,5.54,186,25120,28070,285.97,56.96,5.41,808288,332,0.17,0.37,647,128,51.35,19.49,1590,1898,4659.34,13967.66,5520,5593,31415.91,41312.58,1535,2280,3590.5,17722.58
4.733342,4.454845,160.4,20429.7,28544.55,305.33,61.15,6.02,167.33,27926.73,21857.43,297.53,7.37,44.4,5.69,160.4,22398.02,23697.03,287.38,92.14,6.22,808360,408,0.15,0.37,638.61,120.79,49.01,18.89,1634.65,1349.5,6068.05,9038.28,4220.79,4807.92,22516.84,36227.79,1762.38,1792.08,6785.58,12921.82
4.733342,4.454845,165.35,17003.96,32180.2,297.46,56.69,5.77,185.15,33467.33,24431.68,312.72,10.76,43.14,5.39,176.24,22669.31,25031.68,270.66,67.2,5.42,808436,512,0.17,0.4,641.58,119.8,49.96,19.1,1525.74,1853.47,4459.63,13768.64,5120.79,5169.31,29709.4,36941.26,1768.32,2020.79,6406.95,14801.06
5.108589,4.434729,145,20588,20038,280.18,51.08,5.79,186,25964,23946,268.33,8.94,37.46,5.38,136,18342,21034,289.53,21.32,6.35,808552,576,0.38,0.28,649,112,51.32,18.25,1521,1523,4896.55,10853.92,4220,4583,22183.1,32806.24,1570,1524,5020.9,10877.11
5.27462,4.473954,138,15876,15322,226.07,23.22,6.34,169,23602,23350,277.82,8.48,45.06,5.47,170,21106,28218,290.14,37.35,5.5,808628,668,0.38,0.33,655,113,51.84,18.07,1656,1696,5376.69,12054.32,4535,4419,24787.42,30658.12,1924,1735,7506.58,12205.43
5.27462,4.473954,164,20406,27474,291.95,30.88,5.77,188,31420,23672,293.04,11.22,59.31,5.32,141,19438,25090,315.8,44.38,6.3,808716,724,0.35,0.23,652,117,51.31,18.55,1757,1884,6231.79,13829.43,4714,4949,25737.2,36005.75,1751,1634,6649.33,11469.86
