date,contVaeMngr_AbortAllVaeMigrations:03582,raidMigrate_TrcErrCb:00200,contCmd_StartMigration:05425,contVaeMngr_AbortAllVaeMigrations:03547,contCmd_AbortMigration:05459,contCmd_EndMigration:05488,contCmd_EndMigration:05521,contCmd_AbortMigration:05478,contCmd_StartMigration:05449,raidComb_StartMigrate:02486,raidComb_EndMigrateInter:02725,
25/03 14:15:22,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:15:26,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:15:29,0,0,0,0,0,1,1,0,0,0,1,
25/03 14:15:54,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:15:55,0,0,0,0,0,1,1,0,0,0,1,
25/03 14:16:24,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:16:31,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:17:29,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:17:39,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:18:20,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:18:35,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:18:54,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:19:16,0,0,1,0,0,1,1,0,1,1,1,
25/03 14:19:39,0,0,0,0,0,1,1,0,0,0,1,
25/03 14:20:10,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:02:29,0,0,8,0,0,0,0,0,8,8,0,
25/03 15:03:35,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:06:41,0,0,2,0,0,0,0,0,2,2,0,
25/03 15:06:45,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:08:50,0,0,1,0,0,2,2,0,1,1,2,
25/03 15:09:55,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:13:02,0,0,6,0,0,0,0,0,6,6,0,
25/03 15:15:10,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:15:11,0,0,1,0,0,2,2,0,1,1,2,
25/03 15:16:36,0,0,1,0,0,3,3,0,1,1,3,
25/03 15:16:40,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:16:42,0,0,2,0,0,2,2,0,2,2,2,
25/03 15:16:43,0,0,3,0,0,3,3,0,3,3,3,
25/03 15:16:58,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:18:01,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:18:08,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:18:23,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:19:25,0,0,2,0,0,0,0,0,2,2,0,
25/03 15:20:29,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:20:30,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:20:58,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:20:59,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:21:30,0,0,3,0,0,0,0,0,3,3,0,
25/03 15:22:23,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:23:04,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:23:07,0,0,2,0,0,2,2,0,2,2,2,
25/03 15:23:38,0,0,1,0,0,3,3,0,1,1,3,
25/03 15:24:43,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:25:15,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:25:44,0,0,5,0,0,0,0,0,5,5,0,
25/03 15:27:21,0,0,2,0,0,2,2,0,2,2,2,
25/03 15:27:52,0,0,1,0,0,2,2,0,1,1,2,
25/03 15:27:53,0,0,1,0,0,3,3,0,1,1,3,
25/03 15:29:32,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:30:00,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:30:01,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:30:22,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:31:37,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:32:08,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:32:09,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:32:11,0,0,2,0,0,2,2,0,2,2,2,
25/03 15:34:12,0,0,3,0,0,0,0,0,3,3,0,
25/03 15:35:17,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:35:53,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:36:20,0,0,0,0,0,2,2,0,0,0,2,
25/03 15:37:48,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:38:24,0,0,2,0,0,0,0,0,2,2,0,
25/03 15:39:28,0,0,0,0,0,2,2,0,0,0,2,
25/03 15:41:04,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:41:34,0,0,4,0,0,0,0,0,4,4,0,
25/03 15:41:54,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:43:21,0,0,2,0,0,2,2,0,2,2,2,
25/03 15:43:41,0,0,2,0,0,2,2,0,2,2,2,
25/03 15:43:42,0,0,0,0,0,2,2,0,0,0,2,
25/03 15:44:50,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:45:28,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:45:49,0,0,0,0,0,2,2,0,0,0,2,
25/03 15:46:10,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:46:52,0,0,2,0,0,0,0,0,2,2,0,
25/03 15:46:57,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:48:59,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:49:00,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:49:44,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:50:01,0,0,4,0,0,0,0,0,4,4,0,
25/03 15:51:13,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:51:59,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:52:00,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:52:08,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:53:12,0,0,0,0,0,3,3,0,0,0,3,
25/03 15:53:58,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:54:13,0,0,1,0,0,0,0,0,1,1,0,
